t,precision@5,ndcg@5,map@5,recall@5,precision@10,ndcg@10,map@10,recall@10,precision@15,ndcg@15,map@15,recall@15
2021-05-26 23:49:47,0.1658536585365854,0.3238181412946628,0.2253856577027309,0.4717948717948718,0.1219512195121951,0.3787723327386073,0.24991500143939163,0.6158849280800501,0.10731707317073172,0.42644013385885304,0.2714084402499036,0.759724828017511
2021-06-02 23:53:44,0.06071428571428573,0.10337433292078503,0.0686607142857143,0.12976190476190474,0.1553571428571429,0.35297292970944644,0.18496539588057442,0.7976190476190477,0.12857142857142856,0.41584386714820426,0.21409400536632678,1.0
2021-06-09 22:27:35,0.2465116279069767,0.5838761620611284,0.48736003445305776,0.6599483204134367,0.1744186046511628,0.6404905382536394,0.5302558344612609,0.8204780361757107,0.15658914728682172,0.7086498544538613,0.5754135783108651,1.0
2021-06-16 22:05:04,0.13043478260869565,0.1496783153885344,0.11727053140096619,0.2072463768115942,0.17391304347826086,0.3832480783000097,0.2280753968253968,0.8695652173913043,0.1304347826086957,0.42440923036550726,0.24783824267519922,1.0
2021-06-23 22:35:57,0.2196078431372549,0.5083436688551862,0.4002917833800186,0.7479458450046684,0.1549019607843137,0.5972267706992701,0.45871848739495796,0.9754901960784313,0.10718954248366011,0.6057927861799345,0.46368411000763937,1.0
2021-06-30 23:47:53,0.06956521739130438,0.09457186485059572,0.050392512077294685,0.15108695652173912,0.08260869565217394,0.16588686299361063,0.08664754428341384,0.3398550724637681,0.08840579710144929,0.23345127244784508,0.1160205625694756,0.5467391304347826
2021-07-07 23:51:57,0.12727272727272726,0.1553101582885387,0.09854737854737855,0.15194805194805194,0.13636363636363635,0.22802004609025078,0.15245630912297578,0.3517316017316017,0.17272727272727278,0.4080683501801745,0.22885647341275045,0.9239898989898989
2021-07-14 22:53:59,0.15333333333333335,0.25021407547831287,0.16569444444444445,0.4327777777777778,0.12666666666666668,0.3435987990080068,0.21404761904761907,0.6605555555555556,0.09777777777777778,0.3699949331000735,0.22843711843711842,0.7377777777777778
2021-07-21 18:12:44,0.2066666666666667,0.6886815248225013,0.6194444444444444,0.8416666666666667,0.11333333333333336,0.7082310469707145,0.6281481481481481,0.9,0.08666666666666668,0.7390514893197478,0.6415708365708366,1.0
2021-07-28 22:21:39,0.1647058823529412,0.3131749492075083,0.2365686274509804,0.42058823529411765,0.1823529411764706,0.5238057596851596,0.3533053221288515,1.0,0.1215686274509804,0.5238057596851596,0.3533053221288515,1.0
2021-08-04 22:15:38,0.10967741935483873,0.17298197499738646,0.12482078853046595,0.23387096774193544,0.16774193548387095,0.398522854632123,0.2365424276042555,0.8835125448028674,0.12473118279569896,0.435185739839261,0.2541377355221441,1.0
