t,precision@5,ndcg@5,map@5,recall@5,precision@10,ndcg@10,map@10,recall@10,precision@15,ndcg@15,map@15,recall@15
2021-05-27,0.4146341463414634,1.0,0.980925578486554,0.980925578486554,0.22195121951219512,1.0,0.9943714821763603,0.9943714821763603,0.15284552845528454,1.0,1.0,1.0
2021-06-03,0.38571428571428573,1.0,1.0,1.0,0.19285714285714287,1.0,1.0,1.0,0.12857142857142856,1.0,1.0,1.0
2021-06-10,0.41395348837209295,1.0,0.9693152454780362,0.9693152454780362,0.23488372093023252,1.0,1.0,1.0,0.15658914728682172,1.0,1.0,1.0
2021-06-17,0.39130434782608686,1.0,1.0,1.0,0.19565217391304343,1.0,1.0,1.0,0.1304347826086957,1.0,1.0,1.0
2021-06-24,0.31372549019607837,1.0,0.9943977591036415,0.9943977591036415,0.16078431372549018,1.0,1.0,1.0,0.10718954248366011,1.0,1.0,1.0
2021-07-01,0.36956521739130427,1.0,0.9818840579710146,0.9818840579710146,0.19999999999999998,1.0,1.0,1.0,0.1333333333333333,1.0,1.0,1.0
2021-07-08,0.4818181818181817,1.0,0.9466089466089467,0.9466089466089467,0.2863636363636363,1.0,1.0,1.0,0.19090909090909092,1.0,1.0,1.0
2021-07-15,0.3733333333333333,1.0,0.9944444444444446,0.9944444444444446,0.18999999999999997,1.0,1.0,1.0,0.12666666666666668,1.0,1.0,1.0
2021-07-22,0.26000000000000006,1.0,1.0,1.0,0.13000000000000003,1.0,1.0,1.0,0.08666666666666668,1.0,1.0,1.0
2021-07-29,0.3647058823529412,1.0,1.0,1.0,0.1823529411764706,1.0,1.0,1.0,0.1215686274509804,1.0,1.0,1.0
2021-08-05,0.34838709677419344,1.0,0.9856630824372761,0.9856630824372761,0.18709677419354834,1.0,1.0,1.0,0.12473118279569896,1.0,1.0,1.0
2021-08-12,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.06666666666666667,1.0,1.0,1.0
2021-08-19,0.23157894736842102,1.0,1.0,1.0,0.11578947368421051,1.0,1.0,1.0,0.07719298245614038,1.0,1.0,1.0
2021-08-26,0.34782608695652184,1.0,1.0,1.0,0.17391304347826092,1.0,1.0,1.0,0.1159420289855073,1.0,1.0,1.0
2021-09-02,0.28260869565217384,1.0,0.9882246376811594,0.9882246376811594,0.14999999999999994,1.0,1.0,1.0,0.09999999999999995,1.0,1.0,1.0
2021-09-09,0.32222222222222224,1.0,1.0,1.0,0.16111111111111112,1.0,1.0,1.0,0.10740740740740742,1.0,1.0,1.0
2021-09-16,0.25454545454545463,1.0,1.0,1.0,0.12727272727272732,1.0,1.0,1.0,0.08484848484848485,1.0,1.0,1.0
2021-09-23,0.26666666666666666,1.0,1.0,1.0,0.13333333333333333,1.0,1.0,1.0,0.08888888888888889,1.0,1.0,1.0
2021-09-30,0.2192592592592592,1.0,0.9987654320987653,0.9987654320987653,0.11037037037037035,1.0,1.0,1.0,0.07358024691358023,1.0,1.0,1.0
2021-10-07,0.22727272727272732,1.0,1.0,1.0,0.11363636363636366,1.0,1.0,1.0,0.07575757575757576,1.0,1.0,1.0
2021-10-14,0.22968750000000007,1.0,0.9927455357142857,0.9927455357142857,0.12031250000000003,1.0,0.9977678571428572,0.9977678571428572,0.08229166666666668,1.0,1.0,1.0
2021-10-21,0.21008403361344535,1.0,1.0,1.0,0.10504201680672268,1.0,1.0,1.0,0.07002801120448177,1.0,1.0,1.0
2021-10-28,0.22857142857142854,1.0,1.0,1.0,0.11428571428571427,1.0,1.0,1.0,0.07619047619047618,1.0,1.0,1.0
2021-11-04,0.35945945945945945,1.0,0.9704589042824339,0.9704589042824339,0.20270270270270271,1.0,0.994435612082671,0.994435612082671,0.13963963963963963,1.0,0.998410174880763,0.998410174880763
2021-11-11,0.3822784810126582,1.0,0.9652423877107421,0.9652423877107421,0.2177215189873419,1.0,0.9922187517124227,0.9922187517124227,0.15021097046413498,1.0,0.9963833634719712,0.9963833634719712
2021-11-18,0.4254545454545454,1.0,0.9170141262246525,0.9170141262246525,0.27636363636363637,1.0,0.9711855396065924,0.9711855396065924,0.2048484848484848,1.0,0.9885964912280703,0.9885964912280703
2021-11-25,0.393103448275862,1.0,0.9521072796934866,0.9521072796934866,0.2396551724137931,1.0,0.9942528735632183,0.9942528735632183,0.16551724137931034,1.0,1.0,1.0
2021-12-02,0.4438356164383561,1.0,0.9278998239448969,0.9278998239448969,0.27945205479452057,1.0,0.9793047576962733,0.9793047576962733,0.20182648401826483,1.0,0.9929297392841361,0.9929297392841361
2021-12-09,0.2633663366336634,1.0,0.9983498349834985,0.9983498349834985,0.13267326732673268,1.0,1.0,1.0,0.08844884488448844,1.0,1.0,1.0
2021-12-16,0.3150442477876107,1.0,0.9773142295266191,0.9773142295266191,0.17522123893805314,1.0,0.9948377581120943,0.9948377581120943,0.11976401179941001,1.0,0.9966814159292036,0.9966814159292036
2021-12-23,0.3345454545454545,1.0,0.9863636363636363,0.9863636363636363,0.17818181818181816,1.0,0.9969696969696971,0.9969696969696971,0.1212121212121212,1.0,1.0,1.0
2021-12-30,0.35522388059701493,1.0,0.9543650793650793,0.9543650793650793,0.21492537313432836,1.0,0.9914712153518124,0.9914712153518124,0.15124378109452735,1.0,1.0,1.0
2022-01-06,0.31363636363636366,1.0,0.9742765520464384,0.9742765520464384,0.17272727272727276,1.0,0.9842673898071627,0.9842673898071627,0.12272727272727274,1.0,0.9877647210743802,0.9877647210743802
2022-01-13,0.41538461538461546,1.0,0.9547285747285748,0.9547285747285748,0.24,1.0,0.9795426195426196,0.9795426195426196,0.17025641025641025,1.0,0.9846985446985448,0.9846985446985448
2022-01-20,0.42474226804123716,1.0,0.9415813123237897,0.9415813123237897,0.2515463917525773,1.0,0.963059531864074,0.963059531864074,0.18762886597938144,1.0,0.9747807558226208,0.9747807558226208
2022-01-27,0.3772727272727272,1.0,0.964556277056277,0.964556277056277,0.2136363636363636,1.0,0.9821428571428572,0.9821428571428572,0.15606060606060604,1.0,0.9943181818181818,0.9943181818181818
2022-02-03,0.3645569620253164,1.0,0.9508827143320815,0.9508827143320815,0.218987341772152,1.0,0.9807286595261281,0.9807286595261281,0.16286919831223626,1.0,0.997626582278481,0.997626582278481
2022-02-10,0.34693877551020424,1.0,0.9759916953794505,0.9759916953794505,0.19285714285714292,1.0,0.995229260535383,0.995229260535383,0.1326530612244898,1.0,1.0,1.0
2022-02-17,0.4216216216216217,1.0,0.9721644721644722,0.9721644721644722,0.23243243243243253,1.0,0.9923769923769923,0.9923769923769923,0.16216216216216217,1.0,1.0,1.0
2022-02-24,0.36111111111111105,1.0,0.925580648926237,0.925580648926237,0.23611111111111105,1.0,0.9622724089635855,0.9622724089635855,0.19074074074074074,1.0,0.9949959150326797,0.9949959150326797
2022-03-03,0.3088607594936708,1.0,0.9895268233875828,0.9895268233875828,0.16202531645569618,1.0,1.0,1.0,0.10801687763713078,1.0,1.0,1.0
2022-03-10,0.3333333333333333,1.0,0.9759950697450698,0.9759950697450698,0.18484848484848485,1.0,0.9943181818181818,0.9943181818181818,0.12828282828282825,1.0,0.9990530303030303,0.9990530303030303
2022-03-17,0.2901960784313726,1.0,1.0,1.0,0.1450980392156863,1.0,1.0,1.0,0.09673202614379085,1.0,1.0,1.0
2022-03-24,0.2378378378378378,1.0,1.0,1.0,0.1189189189189189,1.0,1.0,1.0,0.07927927927927927,1.0,1.0,1.0
2022-03-31,0.3432835820895522,1.0,0.986496090973703,0.986496090973703,0.18059701492537314,1.0,1.0,1.0,0.12039800995024875,1.0,1.0,1.0
2022-04-07,0.7022222222222223,1.0,0.7138768638768637,0.7138768638768637,0.6088888888888888,1.0,0.9452140452140453,0.9452140452140453,0.44666666666666677,1.0,0.996825396825397,0.996825396825397
2022-04-14,0.44096385542168687,1.0,0.9033160057256443,0.9033160057256443,0.29759036144578316,1.0,0.9688045109731857,0.9688045109731857,0.22008032128514055,1.0,0.9888036996470732,0.9888036996470732
2022-04-21,0.33658536585365856,1.0,0.9678659456277819,0.9678659456277819,0.18902439024390247,1.0,0.9804473384100357,0.9804473384100357,0.13658536585365852,1.0,0.9870875179340028,0.9870875179340028
2022-04-28,0.26875000000000004,1.0,1.0,1.0,0.13437500000000002,1.0,1.0,1.0,0.08958333333333332,1.0,1.0,1.0
2022-05-05,0.30314465408805036,1.0,0.9840543802807955,0.9840543802807955,0.16477987421383647,1.0,0.9967600533638269,0.9967600533638269,0.11278825995807126,1.0,1.0,1.0
2022-05-12,0.3522727272727273,1.0,0.9930555555555555,0.9930555555555555,0.18181818181818182,1.0,1.0,1.0,0.1212121212121212,1.0,1.0,1.0
2022-05-19,0.4000000000000001,1.0,0.9491680194805195,0.9491680194805195,0.23750000000000004,1.0,0.9780731421356421,0.9780731421356421,0.1729166666666667,1.0,0.9898031655844156,0.9898031655844156
2022-05-26,0.29139784946236563,1.0,0.9946556579621095,0.9946556579621095,0.14946236559139786,1.0,1.0,1.0,0.0996415770609319,1.0,1.0,1.0
2022-06-02,0.3574074074074076,1.0,0.989217572550906,0.989217572550906,0.18703703703703714,1.0,0.9991582491582491,0.9991582491582491,0.12530864197530864,1.0,1.0,1.0
2022-06-09,0.28800000000000014,1.0,0.9933809523809523,0.9933809523809523,0.14880000000000004,1.0,1.0,1.0,0.09919999999999998,1.0,1.0,1.0
2022-06-16,0.2956521739130435,1.0,0.9941123188405798,0.9941123188405798,0.15217391304347827,1.0,1.0,1.0,0.10144927536231883,1.0,1.0,1.0
2022-06-23,0.3344827586206898,1.0,0.9985632183908046,0.9985632183908046,0.16810344827586213,1.0,1.0,1.0,0.11206896551724137,1.0,1.0,1.0
2022-06-30,0.31111111111111117,1.0,0.9902102255043431,0.9902102255043431,0.16274509803921566,1.0,0.9994058229352347,0.9994058229352347,0.10893246187363832,1.0,1.0,1.0
2022-07-07,0.4241758241758243,1.0,0.9145069841494159,0.9145069841494159,0.276923076923077,1.0,0.9648939613216824,0.9648939613216824,0.2153846153846154,1.0,0.9951008743578404,0.9951008743578404
2022-07-14,0.3836734693877552,1.0,0.9633266840570816,0.9633266840570816,0.22040816326530618,1.0,0.9934658073755818,0.9934658073755818,0.15170068027210884,1.0,0.9978517722878625,0.9978517722878625
2022-07-21,0.34390243902439027,1.0,0.9904181184668991,0.9904181184668991,0.1780487804878049,1.0,1.0,1.0,0.1186991869918699,1.0,1.0,1.0
2022-07-28,0.4234234234234235,1.0,0.9678997178997178,0.9678997178997178,0.2396396396396397,1.0,0.9983619983619983,0.9983619983619983,0.16096096096096094,1.0,1.0,1.0
2022-08-04,0.4506849315068493,1.0,0.9465385261618139,0.9465385261618139,0.26780821917808223,1.0,0.9911418490185615,0.9911418490185615,0.1863013698630137,1.0,0.9991438356164384,0.9991438356164384
2022-08-11,0.43558282208588966,1.0,0.956519622163794,0.956519622163794,0.2552147239263804,1.0,0.9969325153374233,0.9969325153374233,0.17259713701431492,1.0,1.0,1.0
2022-08-18,0.3864661654135339,1.0,0.9836943549349565,0.9836943549349565,0.20601503759398496,1.0,1.0,1.0,0.13734335839598993,1.0,1.0,1.0
2022-08-25,0.42745098039215695,1.0,0.97578197945845,0.97578197945845,0.23186274509803928,1.0,1.0,1.0,0.1545751633986928,1.0,1.0,1.0
2022-09-01,0.38125,1.0,0.9542233807858806,0.9542233807858806,0.225,1.0,0.9815618409368408,0.9815618409368408,0.16333333333333333,1.0,0.9933982683982684,0.9933982683982684
2022-09-08,0.3369458128078819,1.0,0.983598571652759,0.983598571652759,0.18177339901477835,1.0,0.9984153777257225,0.9984153777257225,0.12249589490968801,1.0,1.0,1.0
2022-09-15,0.3360730593607307,1.0,0.9869899253460899,0.9869899253460899,0.17853881278538816,1.0,1.0,1.0,0.11902587519025876,1.0,1.0,1.0
2022-09-22,0.46473988439306363,1.0,0.9598263810691554,0.9598263810691554,0.2641618497109827,1.0,0.9970222455771588,0.9970222455771588,0.17842003853564548,1.0,1.0,1.0
2022-09-29,0.44337349397590375,1.0,0.9696643717728055,0.9696643717728055,0.246987951807229,1.0,0.9965576592082617,0.9965576592082617,0.16787148594377507,1.0,1.0,1.0
2022-10-06,0.37078651685393266,1.0,0.9768815766006779,0.9768815766006779,0.20224719101123595,1.0,1.0,1.0,0.1348314606741573,1.0,1.0,1.0
2022-10-13,0.4852272727272728,1.0,0.9454953584925175,0.9454953584925175,0.28806818181818183,1.0,0.9919557242000423,0.9919557242000423,0.19886363636363633,1.0,0.9996448863636364,0.9996448863636364
2022-10-20,0.5014084507042255,1.0,0.8690069711196471,0.8690069711196471,0.35915492957746487,1.0,0.9641485275288092,0.9641485275288092,0.2713615023474178,1.0,1.0,1.0
2022-10-27,0.3766666666666667,1.0,0.9775643338143338,0.9775643338143338,0.20750000000000005,1.0,0.9992424242424243,0.9992424242424243,0.1388888888888889,1.0,1.0,1.0
